Date,Open,High,Low,Close,Volume
2024-12-30,5.12,5.24,5.10,5.11,3747100
2024-12-31,5.12,5.17,5.05,5.13,3393300
2025-01-02,5.25,5.70,5.23,5.68,7303100
2025-01-03,5.70,5.77,5.46,5.74,4968200
2025-01-06,5.95,6.05,5.80,5.83,5145600
2025-01-07,5.86,5.93,5.44,5.45,4806700
2025-01-08,5.42,5.44,5.21,5.40,4526500
2025-01-10,5.40,5.45,5.26,5.28,4384400
2025-01-13,5.21,5.40,5.12,5.24,4700800
2025-01-14,5.31,5.33,5.12,5.15,4789200
2025-01-15,5.24,5.32,5.15,5.17,4563400
2025-01-16,5.14,5.19,4.97,5.07,5385300
2025-01-17,5.08,5.27,4.99,5.21,5194600
2025-01-21,5.29,5.60,5.28,5.58,6612200
2025-01-22,5.68,5.92,5.50,5.83,7518100
2025-01-23,5.74,5.93,5.61,5.88,6334200
2025-01-24,5.90,5.95,5.65,5.71,5864400
2025-01-27,5.44,5.44,5.07,5.17,7094900
2025-01-28,5.27,5.32,5.10,5.27,3928800
2025-01-29,5.27,5.66,5.26,5.56,7112300
2025-01-30,5.59,5.77,5.49,5.54,7346200
2025-01-31,5.54,5.59,5.29,5.31,7216000
2025-02-03,5.20,5.55,5.16,5.25,8894100
2025-02-04,5.45,5.50,5.27,5.41,7453200
2025-02-05,5.39,5.45,5.26,5.33,7055600
2025-02-06,5.30,5.37,5.02,5.07,10117600
2025-02-07,5.12,5.28,5.08,5.19,7569000
2025-02-10,5.26,5.37,5.05,5.07,6709900
2025-02-11,5.20,5.21,4.96,4.98,6577800
2025-02-12,4.94,5.11,4.87,5.03,7945100
2025-02-13,5.04,5.05,4.89,5.03,8508900
2025-02-14,4.97,5.00,4.74,4.80,10618600
2025-02-18,4.78,4.98,4.72,4.94,8835700
2025-02-19,4.90,4.90,4.78,4.87,6511600
2025-02-20,4.87,5.07,4.86,4.87,7927900
2025-02-21,4.91,4.91,4.57,4.64,9810700
2025-02-24,4.68,4.69,4.52,4.56,12817100
2025-02-25,4.53,4.55,4.29,4.36,16789000
2025-02-26,4.45,4.61,4.41,4.44,15825400
2025-02-27,4.45,4.54,3.99,4.02,20141300
2025-02-28,4.11,4.47,3.97,4.12,15406000
2025-03-03,4.15,4.19,3.78,3.80,14700000
2025-03-04,3.80,4.20,3.74,4.04,17594300
2025-03-05,4.08,4.20,4.01,4.16,12266800
2025-03-06,4.05,4.28,4.05,4.19,7764400
2025-03-07,4.11,4.16,4.01,4.07,5604500
2025-03-10,4.00,4.10,3.88,3.96,6394700
2025-03-11,3.98,4.23,3.95,4.16,6824800
2025-03-12,4.24,4.34,4.13,4.16,6346900
2025-03-13,4.13,4.22,4.08,4.18,5222300
2025-03-14,4.24,4.27,4.11,4.13,3980300
2025-03-17,4.20,4.40,4.19,4.35,5771100
2025-03-18,4.30,4.31,4.13,4.25,8014600
2025-03-19,4.25,4.33,4.20,4.28,5240100
2025-03-20,4.22,4.42,4.19,4.35,7547800
2025-03-21,4.30,4.38,4.22,4.36,8859400
2025-03-24,4.44,4.45,4.27,4.29,5767400
2025-03-25,4.29,4.32,4.13,4.18,5730400
2025-03-26,4.19,4.23,4.11,4.13,6340200
2025-03-27,4.22,4.22,4.02,4.02,5552800
2025-03-28,4.00,4.04,3.75,3.75,5674000
2025-03-31,3.70,3.78,3.55,3.73,11389200
2025-04-01,3.73,3.76,3.60,3.67,4780200
2025-04-02,3.63,3.79,3.58,3.77,3852200
2025-04-03,3.56,3.74,3.50,3.63,5110900
2025-04-04,3.53,3.55,3.29,3.45,8793200
2025-04-07,3.21,3.63,3.20,3.45,10159600
2025-04-08,3.59,3.65,3.36,3.44,8770000
2025-04-09,3.41,3.87,3.37,3.81,10685800
2025-04-10,3.64,3.82,3.64,3.79,6303200
2025-04-11,3.79,4.17,3.79,4.11,8112800
2025-04-14,4.30,4.36,4.14,4.25,9743500
2025-04-15,4.32,4.39,4.06,4.13,5507600
2025-04-16,4.14,4.67,4.14,4.43,13294900
2025-04-17,4.91,5.12,4.62,4.95,21033100
2025-04-21,5.08,5.10,4.36,4.49,11300200
2025-04-22,4.58,4.65,4.31,4.35,8045200
2025-04-23,4.45,4.55,4.39,4.48,8465400
2025-04-24,4.51,4.83,4.51,4.81,8927400
2025-04-25,4.75,4.77,4.50,4.51,7442600
2025-04-28,4.52,4.63,4.41,4.61,6228400
2025-04-29,4.59,4.62,4.44,4.45,4414000
2025-04-30,4.35,4.62,4.26,4.52,6702100
2025-05-01,4.58,4.76,4.43,4.55,8477200
2025-05-02,4.61,4.85,4.56,4.63,10642900
2025-05-05,4.65,4.65,4.37,4.53,6856200
2025-05-06,4.47,4.65,4.35,4.61,10530600
2025-05-07,4.58,4.83,4.53,4.75,10520100
2025-05-08,4.80,4.90,4.62,4.76,9232700
2025-05-09,4.87,4.87,4.60,4.76,11485600
2025-05-12,4.80,4.90,4.64,4.66,6206400
2025-05-13,4.70,4.70,4.52,4.52,6277200
2025-05-14,4.52,4.65,4.46,4.57,8789200
2025-05-15,4.49,4.53,4.41,4.46,5566900
2025-05-16,4.42,4.46,4.31,4.37,7796600
2025-05-19,4.32,4.36,4.20,4.35,3861200
2025-05-20,4.33,4.41,4.24,4.40,4346500
2025-05-21,4.40,4.63,4.39,4.48,6978400
2025-05-22,4.48,4.54,4.36,4.50,7968600
2025-05-23,5.00,5.44,4.74,5.40,33177800
2025-05-27,5.59,5.60,5.35,5.45,17072000
2025-05-28,5.40,5.55,5.29,5.32,10053200
2025-05-29,5.27,5.32,5.00,5.03,10239100
2025-05-30,4.98,4.98,4.85,4.89,8620900
2025-06-02,4.95,5.00,4.82,4.87,6032200
2025-06-03,5.28,5.74,5.14,5.58,20614000
2025-06-04,5.61,5.82,5.43,5.72,12928000
2025-06-05,5.74,5.76,5.38,5.58,10426600
2025-06-06,5.67,5.67,5.28,5.47,11024200
2025-06-09,5.56,5.90,5.52,5.65,14323600
2025-06-10,5.70,5.70,5.30,5.36,10105500
2025-06-11,5.40,5.67,5.33,5.41,13301100
2025-06-12,5.37,5.43,5.29,5.37,10788600
2025-06-13,5.58,5.89,5.24,5.62,16678300
2025-06-16,5.90,6.24,5.69,5.80,20240000
2025-06-17,5.86,5.91,5.65,5.88,9868500
2025-06-18,5.84,6.08,5.66,5.77,10790900
2025-06-20,5.73,5.82,5.39,5.41,12796500
2025-06-23,5.40,5.60,5.33,5.48,9039100
2025-06-24,5.49,5.74,5.41,5.65,8859000
2025-06-25,5.70,5.82,5.53,5.61,7874200
2025-06-26,5.62,5.98,5.60,5.90,12029800
2025-06-27,5.90,5.99,5.45,5.55,14397800
2025-06-30,5.55,5.80,5.45,5.75,9009900
2025-07-01,5.81,5.82,5.59,5.75,5549700
2025-07-02,5.85,6.38,5.76,6.26,16648800
2025-07-03,6.24,6.25,6.05,6.17,5643400
2025-07-07,6.01,6.17,5.79,6.16,7874200
2025-07-08,6.15,6.17,5.78,5.83,7519100
2025-07-09,5.85,5.88,5.57,5.59,6963300
2025-07-10,6.05,6.70,6.00,6.51,31998600
2025-07-11,6.34,6.68,6.13,6.60,15683100
2025-07-14,6.60,7.02,6.43,7.01,15514400
2025-07-15,7.10,7.80,6.87,7.76,23846200
2025-07-16,7.84,8.29,7.56,8.24,22986800
2025-07-17,8.20,9.37,8.14,9.16,28973000
2025-07-18,9.05,9.52,8.85,9.36,19718200
2025-07-21,9.45,9.48,8.93,9.21,14244300
2025-07-22,8.72,9.28,8.62,9.20,11890000
2025-07-23,9.25,9.62,9.14,9.48,9898600
2025-07-24,9.40,10.03,9.35,9.96,12629100
2025-07-25,10.00,10.04,9.46,10.01,12237700
2025-07-28,10.30,10.41,9.88,10.04,13228300
2025-07-29,10.04,10.09,9.28,9.47,10998600
2025-07-30,9.20,9.49,8.95,9.11,10450000
2025-07-31,8.90,9.37,8.67,9.09,15672100
2025-08-01,8.68,8.91,8.23,8.85,14065800
2025-08-04,8.89,9.77,8.80,9.72,8118500
2025-08-05,9.80,10.02,9.55,9.92,10609000
2025-08-06,10.04,10.18,9.61,9.68,11459800
2025-08-07,9.38,9.96,9.03,9.60,11193400
2025-08-08,9.75,10.74,9.54,9.55,15075000
2025-08-11,9.50,10.05,9.18,9.61,8844500
2025-08-12,9.60,9.87,9.49,9.59,7073400
2025-08-13,9.79,10.15,9.19,9.51,11304200
2025-08-14,9.42,10.09,9.38,9.79,10826800
2025-08-15,9.80,9.90,9.33,9.79,7938800
2025-08-18,9.84,10.33,9.48,10.32,11837300
2025-08-19,10.45,10.48,8.16,8.47,33697500
2025-08-20,8.43,8.62,8.23,8.53,9675100
2025-08-21,8.72,9.41,8.65,9.40,16004500
2025-08-22,9.66,10.65,9.47,10.58,22548600
2025-08-25,10.75,11.19,10.53,10.93,18559900
2025-08-26,11.54,13.34,11.42,12.31,37077800
2025-08-27,12.08,12.25,11.26,11.40,16542400
2025-08-28,11.61,12.09,11.29,11.68,11837800
2025-08-29,12.24,12.50,11.29,11.56,14569000
2025-09-02,11.00,11.37,10.65,11.36,9573500
2025-09-03,11.33,11.60,11.12,11.44,8304100
2025-09-04,11.31,11.58,10.97,11.23,6637400
2025-09-05,11.23,11.57,10.94,11.56,8085700
2025-09-08,11.62,11.96,11.25,11.90,10099100
2025-09-09,12.40,13.46,11.97,13.08,24499200
2025-09-10,13.08,13.25,12.52,12.63,13070400
2025-09-11,12.51,12.87,12.32,12.53,7367200
2025-09-12,12.50,12.52,11.82,11.93,8385500
2025-09-15,11.94,14.12,11.86,13.82,19534700
2025-09-16,14.23,14.41,13.19,13.41,13494300
2025-09-17,13.75,14.15,13.48,14.08,12394100
2025-09-18,14.35,14.38,13.63,14.10,13275700
2025-09-19,14.10,15.29,14.01,14.86,20708600
2025-09-22,15.00,15.71,14.26,15.57,14015900
2025-09-23,15.80,16.77,15.35,16.67,17562900
2025-09-24,17.33,18.60,16.77,16.87,32472500
2025-09-25,15.12,17.67,15.11,17.26,28144000
2025-09-26,17.51,18.78,16.45,16.71,18859100
2025-09-29,17.27,17.50,16.08,16.52,12066500
2025-09-30,15.13,16.39,14.84,15.35,40546200
2025-10-01,15.00,15.80,14.94,15.71,33608400
2025-10-02,16.00,17.00,15.54,16.82,22460600
2025-10-03,17.06,17.85,16.03,16.52,24417200
2025-10-06,17.35,18.05,16.85,16.91,22546100
2025-10-07,17.49,19.01,16.89,17.23,20919538
